tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0039123,tvSeries,Kraft Theatre,Kraft Television Theatre,0,1947,1958,60,Drama,7.9,233
tt0039125,tvSeries,Public Prosecutor,Public Prosecutor,0,1947,1951,20,"Crime, Drama, Mystery",6.0,35
tt0040021,tvSeries,Actor's Studio,Actor's Studio,0,1948,1950,30,Drama,7.1,94
tt0040041,tvSeries,The Milton Berle Show,Texaco Star Theatre Starring Milton Berle,0,1948,1956,60,"Comedy, Family",7.5,168
tt0040042,tvSeries,The Morey Amsterdam Show,The Morey Amsterdam Show,0,1948,1950,30,"Comedy, Family, Music",7.7,44
tt0040048,tvSeries,Perry Como's Kraft Music Hall,The Perry Como Show,0,1948,1967,60,Music,7.6,126
tt0040049,tvSeries,The Philco Television Playhouse,The Philco Television Playhouse,0,1948,1956,60,Drama,7.4,140
tt0040051,tvSeries,Studio One,Studio One,0,1948,1958,60,Drama,7.5,344
tt0040053,tvSeries,The Ed Sullivan Show,Toast of the Town,0,1948,1971,60,"Music, Talk-Show",7.9,1605
tt0041007,tvSeries,The Big Story,The Big Story,0,1949,1959,30,Drama,6.7,64
tt0041015,tvSeries,Cavalcade of Stars,Cavalcade of Stars,0,1949,1952,60,"Comedy, Family, Music",7.9,67
tt0041021,tvSeries,The Ed Wynn Show,The Ed Wynn Show,0,1949,1950,30,"Comedy, Music",6.8,67
tt0041023,tvSeries,Fireside Theatre,Fireside Theatre,0,1949,1955,30,Drama,7.4,102
tt0041024,tvSeries,The Ford Television Theatre,The Ford Television Theatre,0,1952,1957,30,Drama,7.1,286
tt0041027,tvSeries,The Goldbergs,The Goldbergs,0,1949,1957,30,Comedy,7.4,227
tt0041030,tvSeries,Hopalong Cassidy,Hopalong Cassidy,0,1952,1954,60,Western,7.6,412
tt0041036,tvSeries,The Life of Riley,The Life of Riley,0,1948,1950,30,Comedy,7.0,139
tt0041037,tvSeries,Lights Out,Lights Out,0,1946,1952,30,"Horror, Mystery, Sci-Fi",6.9,218
tt0041038,tvSeries,The Lone Ranger,The Lone Ranger,0,1949,1957,30,Western,7.7,3036
tt0041039,tvSeries,Mama,Mama,0,1949,1957,30,"Comedy, Drama, Family",8.1,197
tt0041040,tvSeries,Man Against Crime,Man Against Crime,0,1949,1954,30,"Action, Crime, Drama",7.3,112
tt0041042,tvSeries,Martin Kane,"Martin Kane, Private Eye",0,1949,1954,30,"Crime, Drama",6.9,83
tt0041053,tvSeries,The Silver Theatre,The Silver Theatre,0,1949,1950,30,"Drama, Romance",6.9,32
tt0041061,tvSeries,Suspense,Suspense,0,1949,1954,25,"Drama, Horror, Mystery",7.4,369
tt0041076,tvSeries,Your Show Time,Your Show Time,0,1949,1949,30,Drama,7.1,33
tt0042069,tvSeries,The Adventures of Ellery Queen,The Adventures of Ellery Queen,0,1950,1956,30,"Crime, Drama, Mystery",6.4,72
tt0042074,tvSeries,Armstrong Circle Theatre,Armstrong Circle Theatre,0,1950,1963,60,Drama,7.6,129
tt0042078,tvSeries,The Arthur Murray Party,The Arthur Murray Party,0,1950,1960,30,"Family, Music",5.1,31
tt0042081,tvSeries,Beulah,Beulah,0,1950,1953,30,Comedy,7.6,164
tt0042083,tvSeries,Big Town,Big Town,0,1950,1956,30,Drama,7.4,64
tt0042093,tvSeries,The Cisco Kid,The Cisco Kid,0,1950,1956,30,Western,7.1,664
tt0042094,tvSeries,The Colgate Comedy Hour,The Colgate Comedy Hour,0,1950,1955,60,"Comedy, Romance",7.7,605
tt0042097,tvSeries,Crusader Rabbit,Crusader Rabbit,0,1950,1957,4,"Adventure, Animation, Family",7.0,181
tt0042098,tvSeries,Danger,Danger,0,1950,1955,30,Drama,7.3,104
tt0042100,tvSeries,Dick Tracy,Dick Tracy,0,1950,1952,30,"Crime, Drama",6.7,163
tt0042106,tvSeries,All Star Revue,Four Star Revue,0,1950,,60,Comedy,8.2,171
tt0042110,tvSeries,The Gene Autry Show,The Gene Autry Show,0,1950,1955,30,Western,7.1,271
tt0042111,tvSeries,The George Burns and Gracie Allen Show,The George Burns and Gracie Allen Show,0,1950,1958,30,Comedy,8.6,1577
tt0042114,tvSeries,The Honeymooners,The Honeymooners,0,1955,1956,30,"Comedy, Family",8.6,6457
tt0042116,tvSeries,The Jack Benny Program,The Jack Benny Program,0,1950,1965,30,Comedy,8.5,1707
tt0042123,tvSeries,Lux Video Theatre,Lux Video Theatre,0,1950,1959,30,"Comedy, Drama",7.3,164
tt0042127,tvSeries,Nash Airflyte Theatre,Nash Airflyte Theatre,0,1950,1951,30,Drama,6.0,38
tt0042139,tvSeries,Racket Squad,Racket Squad,0,1950,1953,30,"Crime, Drama",7.5,164
tt0042141,tvSeries,Robert Montgomery Presents,Robert Montgomery Presents,0,1950,1957,60,Drama,7.6,145
tt0042142,tvSeries,"Rocky King, Detective",Inside Detective,0,1950,1954,30,"Action, Crime, Drama",7.6,80
tt0042151,tvSeries,The Stu Erwin Show,The Stu Erwin Show,0,1950,1955,30,Comedy,6.8,141
tt0042156,tvSeries,"Tom Corbett, Space Cadet","Tom Corbett, Space Cadet",0,1950,1955,15,"Action, Adventure, Family",7.0,116
tt0042159,tvSeries,Treasury Men in Action,Treasury Men in Action,0,1950,1955,30,"Crime, Drama",7.0,76
tt0042168,tvSeries,What's My Line?,What's My Line?,0,1950,1967,30,"Family, Game-Show",8.5,1821
tt0042171,tvSeries,You Bet Your Life,You Bet Your Life,0,1950,1961,30,"Comedy, Family, Game-Show",8.5,794
tt0043169,tvSeries,The Adventures of Kit Carson,The Adventures of Kit Carson,0,1951,1960,30,Western,6.8,140
tt0043170,tvSeries,Adventures of Wild Bill Hickok,Adventures of Wild Bill Hickok,0,1951,1958,30,"Family, Western",7.6,240
tt0043175,tvSeries,The Amos 'n Andy Show,The Amos 'n Andy Show,0,1951,1953,30,Comedy,8.6,861
tt0043182,tvSeries,Boston Blackie,Boston Blackie,0,1951,1953,30,"Crime, Drama",7.5,149
tt0043183,tvSeries,Celanese Theatre,Celanese Theatre,0,1951,1952,60,Drama,6.9,52
tt0043192,tvSeries,The Dinah Shore Chevy Show,The Dinah Shore Chevy Show,0,1956,1963,60,Music,8.0,248
tt0043194,tvSeries,Dragnet,Dragnet,0,1951,1959,30,"Crime, Drama, Mystery",7.5,2469
tt0043199,tvSeries,Foreign Intrigue,Foreign Intrigue,0,1951,1955,30,"Crime, Mystery, Thriller",7.4,57
tt0043201,tvSeries,Front Page Detective,Front Page Detective,0,1951,1953,30,"Crime, Drama, Mystery",6.1,60
tt0043204,tvSeries,Goodyear Playhouse,Goodyear Television Playhouse,0,1951,1957,60,Drama,7.6,117
tt0043208,tvSeries,I Love Lucy,I Love Lucy,0,1951,1957,30,Comedy,8.5,29672
tt0043215,tvSeries,Mark Saber,Mark Saber,0,1951,1953,30,Drama,6.9,30
tt0043223,tvSeries,The Range Rider,The Range Rider,0,1951,1953,30,Western,7.5,187
tt0043224,tvSeries,The Red Skelton Hour,The Red Skelton Show,0,1951,1971,60,Comedy,8.1,1437
tt0043225,tvSeries,The Roy Rogers Show,The Roy Rogers Show,0,1951,2014,30,"Family, Western",7.1,756
tt0043228,tvSeries,Schlitz Playhouse,Schlitz Playhouse of Stars,0,1951,1959,30,"Comedy, Drama",7.5,352
tt0043229,tvSeries,Search for Tomorrow,Search for Tomorrow,0,1951,1986,30,"Drama, Romance",7.1,341
tt0043232,tvSeries,Sky King,Sky King,0,1951,1962,30,"Adventure, Drama, Family",7.7,590
tt0043234,tvSeries,Space Patrol,Space Patrol,0,1950,1955,30,"Action, Adventure, Family",6.8,172
tt0043238,tvSeries,Tales of Tomorrow,Tales of Tomorrow,0,1951,1953,25,"Drama, Horror, Mystery",7.0,492
tt0044229,tvSeries,The Abbott and Costello Show,The Abbott and Costello Show,0,1952,1957,25,"Comedy, Family, Mystery",8.1,1397
tt0044230,tvSeries,The Adventures of Ozzie and Harriet,The Adventures of Ozzie and Harriet,0,1952,1966,30,"Comedy, Drama, Family",7.4,1687
tt0044231,tvSeries,Adventures of Superman,Adventures of Superman,0,1952,1958,30,"Action, Adventure, Crime",7.7,4652
tt0044238,tvSeries,"Biff Baker, U.S.A.","Biff Baker, U.S.A.",0,1952,1954,30,Adventure,7.4,77
tt0044245,tvSeries,Campbell Summer Soundstage,Campbell Playhouse,0,1952,1954,30,Drama,6.6,43
tt0044247,tvSeries,The Cases of Eddie Drake,The Cases of Eddie Drake,0,1952,,30,"Action, Adventure, Crime",6.3,32
tt0044248,tvSeries,Cavalcade of America,Cavalcade of America,0,1952,1957,60,Drama,8.0,102
tt0044254,tvSeries,Cowboy G-Men,Cowboy G-Men,0,1952,,30,Western,6.6,80
tt0044255,tvSeries,"Craig Kennedy, Criminologist","Craig Kennedy, Criminologist",0,1952,1953,30,"Crime, Drama, Mystery",5.3,38
tt0044257,tvSeries,Dangerous Assignment,Dangerous Assignment,0,1950,,26,Adventure,6.6,160
tt0044259,tvSeries,Death Valley Days,Death Valley Days,0,1952,1970,25,Western,7.5,1154
tt0044261,tvSeries,The Doctor,The Doctor,0,1952,1953,30,Drama,6.2,39
tt0044263,tvSeries,Four Star Playhouse,Four Star Playhouse,0,1952,1956,30,"Comedy, Crime, Drama",7.5,268
tt0044264,tvSeries,Gang Busters,Gang Busters,0,1952,,30,"Crime, Drama",6.8,89
tt0044265,tvSeries,Guiding Light,The Guiding Light,0,1952,2009,60,"Drama, Romance",6.5,1935
tt0044266,tvSeries,Hallmark Hall of Fame,Hallmark Hall of Fame,0,1951,1978,,"Comedy, Drama",8.1,344
tt0044269,tvSeries,I Married Joan,I Married Joan,0,1952,1955,30,Comedy,7.7,420
tt0044270,tvSeries,I've Got a Secret,I've Got a Secret,0,1952,1967,30,"Family, Game-Show",7.9,577
tt0044272,tvSeries,The Jackie Gleason Show,The Jackie Gleason Show,0,1952,1973,60,Comedy,8.5,533
tt0044277,tvSeries,Mr. & Mrs. North,Mr. & Mrs. North,0,1952,1954,30,"Comedy, Drama, Mystery",7.4,268
tt0044279,tvSeries,Mister Peepers,Mister Peepers,0,1952,1955,30,Comedy,7.4,181
tt0044282,tvSeries,My Hero,My Hero,0,1952,1953,30,Comedy,7.1,61
tt0044283,tvSeries,My Little Margie,My Little Margie,0,1952,1955,30,Comedy,7.7,467
tt0044284,tvSeries,Omnibus,Omnibus,0,1952,1961,55,"Drama, History, Music",8.3,224
tt0044287,tvSeries,Our Miss Brooks,Our Miss Brooks,0,1952,1956,30,"Comedy, Family",8.0,748
tt0044289,tvSeries,Ramar of the Jungle,Ramar of the Jungle,0,1952,1954,30,Adventure,7.3,120
tt0044290,tvSeries,Rebound,Rebound,0,1952,1953,30,"Drama, Mystery",6.4,28
tt0044296,tvSeries,This Is Your Life,This Is Your Life,0,1950,1993,30,"Biography, Family, Reality-TV",7.0,322
tt0044298,tvSeries,Today,Today,0,1952,,240,"News, Talk-Show",4.6,2540
tt0044301,tvSeries,The Unexpected,The Unexpected,0,1952,,30,Drama,7.8,36
tt0045373,tvSeries,The Bob Hope Show,The Bob Hope Show,0,1950,,60,"Comedy, Family, Talk-Show",7.3,268
tt0045378,tvSeries,City Detective,City Detective,0,1953,1955,30,Drama,7.0,45
tt0045385,tvSeries,Rheingold Theatre,"Douglas Fairbanks, Jr., Presents",0,1953,2025,23,Drama,8.3,79
tt0045395,tvSeries,General Electric Theater,General Electric Theater,0,1953,1962,30,Drama,6.8,448
tt0045397,tvSeries,I Led 3 Lives,I Led 3 Lives,0,1953,1956,30,Drama,7.9,173
tt0045398,tvSeries,I'm the Law,I'm the Law,0,1953,,30,"Action, Crime, Drama",6.7,51
tt0045406,tvSeries,The Life of Riley,The Life of Riley,0,1953,1958,30,Comedy,8.0,472
tt0045407,tvSeries,Life with Elizabeth,Life with Elizabeth,0,1952,1955,30,Comedy,7.3,354
tt0045409,tvSeries,The Loretta Young Show,Letter to Loretta,0,1953,1961,30,Drama,7.5,317
tt0045410,tvSeries,The Danny Thomas Show,Make Room for Daddy,0,1953,1965,30,"Comedy, Family",7.1,1326
tt0045411,tvSeries,The Man Behind the Badge,The Man Behind the Badge,0,1953,1955,30,"Crime, Drama",7.0,76
tt0045414,tvSeries,The Ray Milland Show,Meet Mr. McNutley,0,1953,1955,30,Comedy,7.3,61
tt0045415,tvSeries,The Motorola Television Hour,The Motorola Television Hour,0,1953,1954,60,Drama,6.6,43
tt0045430,tvSeries,The Pepsi-Cola Playhouse,The Pepsi-Cola Playhouse,0,1953,1955,30,Drama,7.5,70
tt0045431,tvSeries,Person to Person,Person to Person,0,1953,1961,30,"Documentary, News, Talk-Show",8.2,227
tt0045435,tvSeries,Private Secretary,Private Secretary,0,1953,1957,30,Comedy,7.9,210
tt0045436,tvSeries,The Quatermass Experiment,The Quatermass Experiment,0,1953,1953,30,"Drama, Horror, Sci-Fi",7.2,470
tt0045447,tvSeries,Topper,Topper,0,1953,1955,30,"Comedy, Fantasy",8.2,590
tt0045449,tvSeries,The United States Steel Hour,The United States Steel Hour,0,1953,1963,60,"Comedy, Drama",7.8,205
tt0045455,tvSeries,Where's Raymond?,Where's Raymond?,0,1953,,,Comedy,6.9,33
tt0045458,tvSeries,You Are There,You Are There,0,1953,1972,30,"Drama, History",8.3,217
tt0046576,tvSeries,The Adventures of Rin Tin Tin,The Adventures of Rin Tin Tin,0,1954,1959,30,"Family, Western",7.0,887
tt0046578,tvSeries,Annie Oakley,Annie Oakley,0,1954,1957,30,Western,7.2,385
tt0046580,tvSeries,The Best of Broadway,The Best of Broadway,0,1954,1955,60,"Comedy, Drama, Musical",7.0,54
tt0046584,tvSeries,Caesar's Hour,Caesar's Hour,0,1954,1957,60,Comedy,7.9,204
tt0046585,tvSeries,Captain Midnight,Captain Midnight,0,1954,1958,30,Sci-Fi,7.6,173
tt0046587,tvSeries,Climax!,Climax!,0,1954,1958,60,Drama,6.5,276
tt0046588,tvSeries,Colonel March of Scotland Yard,Colonel March of Scotland Yard,0,1954,1956,30,"Crime, Drama, Mystery",7.1,342
tt0046591,tvSeries,Dear Phoebe,Dear Phoebe,0,1954,1955,30,Comedy,7.0,27
tt0046592,tvSeries,December Bride,December Bride,0,1954,1959,30,Comedy,7.9,279
tt0046593,tvSeries,The Magical World of Disney,Disneyland,0,1954,1997,120,"Adventure, Drama, Family",8.4,2387
tt0046600,tvSeries,Father Knows Best,Father Knows Best,0,1954,1960,30,"Comedy, Family",7.4,2761
tt0046606,tvSeries,The Halls of Ivy,The Halls of Ivy,0,1954,1955,30,Comedy,8.1,57
tt0046613,tvSeries,The Jimmy Durante Show,The Jimmy Durante Show,0,1954,1956,30,"Comedy, Music",7.9,48
tt0046617,tvSeries,Lassie,Lassie,0,1954,1974,30,"Adventure, Drama, Family",6.5,3981
tt0046618,tvSeries,The Lineup,The Lineup,0,1954,1960,60,Drama,7.7,128
tt0046623,tvSeries,Medic,Medic,0,1954,1956,30,Drama,8.1,194
tt0046624,tvSeries,Meet Corliss Archer,Meet Corliss Archer,0,1954,,30,Comedy,7.4,79
tt0046625,tvSeries,The Mickey Rooney Show,The Mickey Rooney Show,0,1954,1955,30,Comedy,7.4,90
tt0046628,tvSeries,Mr. District Attorney,Mr. District Attorney,0,1954,1955,30,Drama,7.5,33
tt0046634,tvSeries,Passport to Danger,Passport to Danger,0,1954,1958,30,Adventure,7.1,59
tt0046637,tvSeries,Producers' Showcase,Producers' Showcase,0,1954,1957,90,"Comedy, Drama, Family",7.1,191
tt0046638,tvSeries,Public Defender,Public Defender,0,1954,1955,30,"Crime, Drama",7.4,116
tt0046639,tvSeries,"Rocky Jones, Space Ranger","Rocky Jones, Space Ranger",0,1954,1954,26,"Family, Sci-Fi",5.6,251
tt0046642,tvSeries,Sherlock Holmes,Sherlock Holmes,0,1954,1955,30,"Crime, Drama, Mystery",7.5,1164
tt0046643,tvSeries,Shower of Stars,Shower of Stars,0,1954,1958,60,"Adventure, Drama, Family",7.4,87
tt0046645,tvSeries,Stage 7,Stage 7,0,1955,1956,30,Drama,7.0,44
tt0046646,tvSeries,Stage Show,Stage Show,0,1954,1956,30,"Comedy, Music",6.5,16
tt0046647,tvSeries,Stories of the Century,Stories of the Century,0,1954,1955,30,Western,7.0,213
tt0046648,tvSeries,Studio 57,Studio 57,0,1954,1958,30,"Drama, Family",7.2,251
tt0046652,tvSeries,The Tonight Show,Tonight!,0,1953,1957,105,"Comedy, Music, Talk-Show",7.9,232
tt0046658,tvSeries,Victory at Sea,Victory at Sea,0,1952,1953,30,"Action, Documentary, War",8.5,717
tt0046659,tvSeries,The Vise,The Vise,0,1954,1961,30,"Crime, Drama, Thriller",6.9,78
tt0046660,tvSeries,Waterfront,Waterfront,0,1954,1956,30,"Adventure, Crime",7.6,123
tt0047702,tvSeries,The 20th Century-Fox Hour,The 20th Century-Fox Hour,0,1955,1957,60,Drama,7.1,243
tt0047703,tvSeries,The Adventures of Champion,The Adventures of Champion,0,1955,1956,30,Western,7.2,187
tt0047704,tvSeries,Adventures of the Falcon,Adventures of the Falcon,0,1954,,30,Adventure,7.1,43
tt0047705,tvSeries,The Adventures of Long John Silver,The Adventures of Long John Silver,0,1956,1957,30,"Adventure, Family",7.0,191
tt0047706,tvSeries,The Adventures of Robin Hood,The Adventures of Robin Hood,0,1955,1960,30,"Action, Adventure, Family",7.6,920
tt0047707,tvSeries,The Alcoa Hour,The Alcoa Hour,0,1955,1957,60,Drama,7.3,102
tt0047708,tvSeries,Alfred Hitchcock Presents,Alfred Hitchcock Presents,0,1955,1962,25,"Crime, Drama, Mystery",8.5,19779
tt0047713,tvSeries,Appointment with Adventure,Appointment with Adventure,0,1955,1956,30,"Adventure, Drama",6.6,45
tt0047716,tvSeries,Brave Eagle,Brave Eagle,0,1955,1956,30,Western,7.9,85
tt0047717,tvSeries,Captain Gallant of the Foreign Legion,Captain Gallant of the Foreign Legion,0,1955,,30,Adventure,7.0,121
tt0047718,tvSeries,Captain Kangaroo,Captain Kangaroo,0,1955,1992,60,Family,8.0,1627
tt0047719,tvSeries,Casablanca,Casablanca,0,1955,1956,60,Drama,6.4,88
tt0047720,tvSeries,Cheyenne,Cheyenne,0,1955,1963,60,Western,8.0,2121
tt0047723,tvSeries,The Count of Monte Cristo,The Count of Monte Cristo,0,1956,1956,30,"Adventure, Family",7.4,68
tt0047724,tvSeries,Crossroads,Crossroads,0,1955,1957,30,Drama,7.4,99
tt0047728,tvSeries,Dixon of Dock Green,Dixon of Dock Green,0,1955,1976,,"Crime, Drama",6.8,361
tt0047730,tvSeries,The Eddie Cantor Comedy Theater,The Eddie Cantor Comedy Theater,0,1955,1955,30,Comedy,7.6,45
tt0047731,tvSeries,Ford Star Jubilee,Ford Star Jubilee,0,1955,1956,90,"Comedy, Drama, Music",7.0,91
tt0047733,tvSeries,Frontier,Frontier,0,1955,1956,30,Western,7.4,66
tt0047734,tvSeries,Fury,Fury,0,1955,1960,30,"Drama, Family, Western",7.3,595
tt0047736,tvSeries,Gunsmoke,Gunsmoke,0,1955,1975,60,Western,8.1,9230
tt0047738,tvSeries,The Star and the Story,The Star and the Story,0,1955,1956,30,Drama,6.8,69
tt0047739,tvSeries,Highway Patrol,Highway Patrol,0,1955,1959,30,"Action, Crime, Drama",7.7,1621
tt0047745,tvSeries,Jane Wyman Presents the Fireside Theatre,Jane Wyman Presents The Fireside Theatre,0,1955,1958,30,Drama,7.3,74
tt0047746,tvSeries,The Johnny Carson Show,The Johnny Carson Show,0,1953,1956,30,"Comedy, Music",8.2,171
tt0047747,tvSeries,Jungle Jim,Jungle Jim,0,1955,1956,20,"Action, Adventure, Crime",7.3,243
tt0047748,tvSeries,Kings Row,Kings Row,0,1955,1956,60,Drama,7.8,39
tt0047750,tvSeries,The Life and Legend of Wyatt Earp,The Life and Legend of Wyatt Earp,0,1955,1961,30,Western,7.6,1191
tt0047751,tvSeries,The Lone Wolf,The Lone Wolf,0,1954,1955,30,Adventure,7.6,133
tt0047752,tvSeries,The Bob Cummings Show,The Bob Cummings Show,0,1955,1959,30,Comedy,7.7,497
tt0047753,tvSeries,MGM Parade,MGM Parade,0,1955,1956,30,Documentary,6.5,114
tt0047756,tvSeries,Matinee Theatre,Matinee Theater,0,1955,1958,60,"Drama, Horror, Mystery",6.7,146
tt0047757,tvSeries,The Mickey Mouse Club,The Mickey Mouse Club,0,1955,1958,60,"Comedy, Drama, Family",7.6,891
tt0047758,tvSeries,The Millionaire,The Millionaire,0,1955,1960,30,Drama,7.8,629
tt0047762,tvSeries,The People's Choice,The People's Choice,0,1955,1958,30,Comedy,7.9,195
tt0047763,tvSeries,The Phil Silvers Show,The Phil Silvers Show,0,1955,1959,30,"Comedy, Family",8.4,1793
tt0047764,tvSeries,Playwrights '56,Playwrights '56,0,1955,1956,60,"Comedy, Drama",6.6,50
tt0047766,tvMiniSeries,Quatermass II,Quatermass II,0,1955,1955,,"Drama, Horror, Sci-Fi",7.1,505
tt0047767,tvSeries,Science Fiction Theatre,Science Fiction Theatre,0,1955,1957,25,"Adventure, Drama, Sci-Fi",8.1,454
tt0047768,tvSeries,Screen Directors Playhouse,Screen Directors Playhouse,0,1955,1956,30,Drama,7.1,197
tt0047770,tvSeries,"Secret File, U.S.A.","Secret File, U.S.A.",0,1955,,30,Thriller,6.8,21
tt0047771,tvSeries,Sheena: Queen of the Jungle,Sheena: Queen of the Jungle,0,1955,1956,28,Adventure,6.0,146
tt0047773,tvSeries,Soldiers of Fortune,Soldiers of Fortune,0,1955,1957,30,Adventure,7.7,101
tt0047775,tvSeries,The Adventures of Spin and Marty,The Adventures of Spin and Marty,0,1955,1955,,"Adventure, Family, Western",8.0,376
tt0047777,tvSeries,"Steve Donovan, Western Marshal","Steve Donovan, Western Marshal",0,1955,,30,Western,6.3,25
tt0047780,tvSeries,TV Reader's Digest,TV Reader's Digest,0,1955,1956,30,Drama,6.8,66
tt0047786,tvSeries,Warner Brothers Presents,Warner Brothers Presents,0,1955,1956,60,Drama,7.4,47
tt0048838,tvSeries,The Adventures of Dr. Fu Manchu,The Adventures of Dr. Fu Manchu,0,1956,1956,30,"Crime, Mystery, Thriller",6.2,131
tt0048839,tvSeries,The Adventures of Hiram Holliday,The Adventures of Hiram Holliday,0,1956,1961,30,Comedy,8.1,76
tt0048840,tvSeries,The Adventures of Jim Bowie,The Adventures of Jim Bowie,0,1956,1958,30,"Adventure, Western",6.8,295
tt0048841,tvSeries,The Adventures of Sir Lancelot,The Adventures of Sir Lancelot,0,1956,1957,30,"Adventure, Family",7.0,191
tt0048845,tvSeries,As the World Turns,As the World Turns,0,1956,2010,60,"Drama, Romance",6.2,2352
tt0048848,tvSeries,Broken Arrow,Broken Arrow,0,1956,1958,30,Western,7.5,278
tt0048850,tvSeries,The Buccaneers,The Buccaneers,0,1956,1957,30,"Adventure, Drama",7.2,196
tt0048855,tvSeries,Circus Boy,Circus Boy,0,1956,1958,30,"Family, Western",7.3,276
tt0048863,tvSeries,The Gale Storm Show: Oh! Susanna,The Gale Storm Show: Oh! Susanna,0,1956,1960,30,Comedy,7.8,240
tt0048868,tvSeries,"Hey, Jeannie!","Hey, Jeannie!",0,1956,1957,30,Comedy,7.7,62
tt0048872,tvSeries,I Spy,I Spy,0,1955,,30,Thriller,7.4,34
tt0048879,tvSeries,Judge Roy Bean,Judge Roy Bean,0,1955,,30,Western,7.1,116
tt0048880,tvSeries,The Kaiser Aluminum Hour,The Kaiser Aluminum Hour,0,1956,1957,60,Drama,7.5,65
tt0048885,tvSeries,The Man Called X,The Man Called X,0,1956,1957,30,"Adventure, Drama, Mystery",6.7,39
tt0048887,tvSeries,My Friend Flicka,My Friend Flicka,0,1955,1960,30,Western,7.3,196
tt0048892,tvSeries,The Joseph Cotten Show: On Trial,On Trial,0,1955,1959,30,Crime,6.9,170
tt0048893,tvSeries,Playhouse 90,Playhouse 90,0,1956,1961,90,"Comedy, Crime, Drama",8.3,442
tt0048898,tvSeries,Stanley,Stanley,0,1956,1957,30,Comedy,4.4,81
tt0048899,tvSeries,The Steve Allen Plymouth Show,The Steve Allen Show,0,1956,1960,60,Comedy,8.4,263
tt0048903,tvSeries,Telephone Time,Telephone Time,0,1956,1958,30,Drama,7.0,256
tt0048907,tvSeries,To Tell the Truth,To Tell the Truth,0,1956,1968,30,"Family, Game-Show",7.7,539
tt0048913,tvSeries,West Point,West Point,0,1956,1957,30,Drama,7.0,138
tt0048916,tvSeries,Zane Grey Theatre,Zane Grey Theatre,0,1956,1961,25,Western,7.5,624
tt0049991,tvSeries,26 Men,26 Men,0,1957,1959,30,Western,7.3,137
tt0049992,tvSeries,Alcoa Theatre,Alcoa Theatre,0,1957,1960,30,Drama,7.4,95
tt0049996,tvSeries,Bachelor Father,Bachelor Father,0,1957,1962,30,"Comedy, Family",7.2,610
tt0049999,tvSeries,Blondie,Blondie,0,1957,,30,"Comedy, Family",6.8,144
tt0050000,tvSeries,Boots and Saddles,Boots and Saddles,0,1956,1958,30,Western,7.2,66
tt0050002,tvSeries,The Californians,The Californians,0,1957,1959,30,Western,6.5,150
tt0050005,tvSeries,Code 3,Code 3,0,1957,1957,30,"Crime, Drama",7.3,108
tt0050006,tvSeries,Colt .45,Colt .45,0,1957,1960,30,Western,7.2,171
tt0050007,tvSeries,The Court of Last Resort,The Court of Last Resort,0,1957,1958,30,"Crime, Drama",7.3,54
tt0050009,tvSeries,Date with the Angels,Date with the Angels,0,1957,1958,30,Comedy,7.0,164
tt0050010,tvSeries,Decoy,Decoy,0,1957,1958,30,"Crime, Drama",7.6,349
tt0050013,tvSeries,The DuPont Show of the Month,The DuPont Show of the Month,0,1957,1961,90,"Comedy, Drama, History",7.1,112
tt0050015,tvSeries,The Errol Flynn Theatre,The Errol Flynn Theatre,0,1956,1957,30,"Comedy, Drama, Mystery",7.2,44
tt0050016,tvSeries,The Eve Arden Show,The Eve Arden Show,0,1957,1958,30,Comedy,7.7,61
tt0050017,tvSeries,The Frank Sinatra Show,The Frank Sinatra Show,0,1957,1960,30,"Drama, Music",7.5,98
tt0050021,tvSeries,The Gray Ghost,The Gray Ghost,0,1957,,30,"Adventure, War, Western",8.5,109
tt0050022,tvSeries,The Gumby Show,The Gumby Show,0,1956,1969,30,"Adventure, Animation, Comedy",7.0,1622
tt0050023,tvSeries,Harbor Command,Harbor Command,0,1957,1958,30,Action,7.5,64
tt0050025,tvSeries,Have Gun - Will Travel,Have Gun - Will Travel,0,1957,1963,25,Western,8.4,3503
tt0050026,tvSeries,Hawkeye and the Last of the Mohicans,Hawkeye and the Last of the Mohicans,0,1957,1957,30,"Adventure, Drama, Western",7.3,282
tt0050030,tvSeries,The Tonight Show Starring Jack Paar,Tonight Starring Jack Paar,0,1957,1962,105,"Comedy, Family, Talk-Show",8.3,332
tt0050032,tvSeries,Leave It to Beaver,Leave It to Beaver,0,1957,1963,30,"Comedy, Family",7.6,9751
tt0050033,tvSeries,The Lucy-Desi Comedy Hour,The Lucy-Desi Comedy Hour,0,1957,1960,60,"Comedy, Family",8.3,1314
tt0050034,tvSeries,Lux Playhouse,Lux Playhouse,0,1958,1959,30,"Comedy, Drama, Romance",8.0,63
tt0050035,tvSeries,M Squad,M Squad,0,1957,1960,30,"Crime, Drama, Thriller",8.1,418
tt0050037,tvSeries,Maverick,Maverick,0,1957,1962,60,Western,8.0,3795
tt0050038,tvSeries,The Adventures of McGraw,Meet McGraw,0,1957,1958,30,"Crime, Drama",7.4,58
tt0050039,tvSeries,Mike Hammer,Mike Hammer,0,1958,1959,30,"Action, Crime, Drama",8.0,321
tt0050042,tvSeries,Mr. Adams and Eve,Mr. Adams and Eve,0,1957,1958,30,Comedy,7.9,70
