tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt12169918,tvSeries,Satina,Satina,0,2019,,,"Animation, Comedy, Family",8.2,193
tt12170222,tvMiniSeries,Earners,Earners,0,2020,2020,,Comedy,9.0,15
tt1217208,tvSeries,The Philanthropist,The Philanthropist,0,2009,2009,60,"Action, Adventure, Drama",7.3,1561
tt1217214,tvSeries,America's Toughest Jobs,America's Toughest Jobs,0,2008,2008,,Reality-TV,6.1,81
tt1217217,tvSeries,Saturday Night Live: Weekend Update Summer Edition,Saturday Night Live: Weekend Update Thursday,0,2008,2017,,"Comedy, News",7.2,997
tt12172364,tvSeries,Except Me,Except Me,0,2020,,,Drama,6.5,40
tt1217239,tvSeries,My Own Worst Enemy,My Own Worst Enemy,0,2008,2008,60,"Action, Drama, Sci-Fi",7.3,3488
tt12174282,tvSeries,Lo de Évole,Lo de Évole,0,2020,,,Talk-Show,6.7,45
tt12174592,tvSeries,Unprofessionalism,Unprofessionalism,0,2020,,,Comedy,8.7,124
tt1217518,tvSeries,Patito feo,Patito feo,0,2007,2008,60,"Comedy, Drama, Family",4.2,2369
tt12175306,tvMiniSeries,Object Terror,Object Terror,0,2016,,,"Action, Animation, Comedy",3.1,121
tt1217629,tvMiniSeries,Zoombie,Zoombie,0,1982,1982,150,Comedy,6.9,50
tt12176398,tvSeries,Cooked with Cannabis,Cooked with Cannabis,0,2020,2020,,Reality-TV,6.6,481
tt12177218,tvSeries,Caminantes,Caminantes,0,2020,2020,,Horror,5.7,178
tt12177804,tvMiniSeries,The Domain,A Herdade,0,2020,2020,180,Drama,6.9,344
tt12177808,tvSeries,We Got This,We Got This,0,2020,2020,45,"Comedy, Crime, Mystery",6.9,444
tt12179254,tvSeries,The Sleuth of the Ming Dynasty,Cheng hua shi si nian,0,2020,,43,"Crime, Drama, Mystery",7.8,172
tt12181598,tvSeries,Head High,Head High,0,2020,,,Drama,7.1,160
tt12182408,tvSeries,Metti Oli,Metti Oli,0,2002,2005,22,"Drama, Family",9.1,193
tt12183016,tvSeries,Museums in Quarantine,Museums in Quarantine,0,2020,2020,,Documentary,7.2,31
tt12183038,tvSeries,Grayson's Art Club,Grayson's Art Club,0,2020,,,Documentary,8.7,78
tt1218502,tvSeries,Spectacle: Elvis Costello with...,Spectacle: Elvis Costello with...,0,2008,,60,Music,8.4,157
tt1218514,tvSeries,Eurovision Song Contest: Selectia nationala,Eurovision Song Contest: Selectia nationala,0,1994,,,,5.6,9
tt12185180,tvMiniSeries,The Killer Truth,The Killer Truth,0,2020,2020,,Crime,7.1,89
tt1218572,tvSeries,Bed of Roses,Bed of Roses,0,2008,2011,55,Drama,6.6,280
tt12187270,tvSeries,Fraggle Rock: Rock On!,Fraggle Rock: Rock On!,0,2020,2020,,"Family, Short",6.5,168
tt12187550,tvSeries,Tutunamayanlar: Çevrimiçi,Tutunamayanlar: Çevrimiçi,0,2020,2020,,Comedy,6.1,84
tt12187604,tvSeries,Thanamalvila Kollek,Thanamalvila Kollek,0,2020,,,Family,9.2,1520
tt12189156,tvSeries,Mummy Mysteries,Mummy Mysteries,0,2020,,,,7.8,20
tt12189308,tvSeries,The Unremarkable Juanquini,Chichipatos,0,2020,2021,30,Comedy,4.3,211
tt12189310,tvMiniSeries,"Coronavirus, Explained","Coronavirus, Explained",0,2020,2020,22,Documentary,7.5,2464
tt1219024,tvSeries,Castle,Castle,0,2009,2016,43,"Comedy, Crime, Drama",8.1,178934
tt12190580,tvSeries,Lenox Hill,Lenox Hill,0,2020,2020,50,"Biography, Documentary",8.6,3013
tt12192534,tvMiniSeries,Fox: Making the Dream,Fox: Making the Dream,0,2020,,,Documentary,9.2,17
tt12192948,tvSeries,Any Malu Show,Any Malu Show,0,2020,,,"Animation, Comedy, Talk-Show",7.3,111
tt12193120,tvSeries,My Roommate Is a Detective,Min Guo qi tan,0,2020,2020,45,"Comedy, Crime, Drama",7.5,153
tt12193174,tvSeries,Girlfriend,Lou Xia Nv You Qing Qian Shou,0,2020,2020,,Drama,7.1,122
tt12193518,tvSeries,Sin,Sin,0,2020,,137,Romance,5.8,135
tt12193720,tvSeries,This Joka,This Joka,0,2022,,6,Comedy,1.0,581
tt12194762,tvSeries,Liebe. Jetzt!,Liebe. Jetzt!,0,2020,,20,Comedy,6.8,53
tt12196626,tvSeries,Mastram,Mastram,0,2020,2020,20,"Comedy, Fantasy",6.9,2616
tt12196730,tvMiniSeries,101 Lições de Cinema,101 Lições de Cinema,0,2020,2020,,"Family, Reality-TV",9.4,44
tt12197698,tvSeries,Leverage: Redemption,Leverage: Redemption,0,2021,,45,"Crime, Mystery, Thriller",8.2,20783
